id,lat,lon,business_type,final_probability,base_business_score,sentiment_score,trends_demand_score,saturation_score,matched_sentiment_location,distance_to_sentiment_km
node/11167096805,43.05006699999999,-89.3920584,bar,72.4,64.7,100.0,35.0,1.0,fish hatchery,1.13
node/11167096805,43.05006699999999,-89.3920584,coffee shop,71.2,64.7,100.0,26.2,1.0,monroe street,1.26
way/43926492,43.05209980648997,-89.50251034738326,gym,70.9,58.5,100.0,36.5,1.0,junction,1.46
node/8773830624,43.128389899999995,-89.3611411,gym,70.6,57.2,100.0,36.5,1.0,north side,2.55
node/11167096805,43.05006699999999,-89.3920584,bakery,70.5,64.7,100.0,20.6,1.0,park street,0.57
way/86579194,43.0542186082353,-89.50844628851435,gym,70.4,56.6,100.0,36.5,1.0,junction,1.09
way/987655471,43.05749205759648,-89.42806675954046,coffee shop,70.2,60.8,100.0,26.2,0.7,monroe street,1.84
way/456695749,43.06623340255474,-89.41478794793663,restaurant,70.1,58.5,100.0,30.0,1.0,camp randall,0.45
node/3245483866,43.05513059999999,-89.4999204,gym,70.0,54.8,100.0,36.5,0.7,junction,1.28
node/11477165381,43.0640971,-89.4181216,restaurant,69.9,57.8,100.0,30.0,1.0,camp randall,0.79
way/107454783,43.07093661462544,-89.4522959346128,gym,69.9,54.3,100.0,36.5,1.0,hilldale,0.3
way/297754313,43.1132150211739,-89.34823242844925,gym,69.8,54.0,100.0,36.5,1.0,north side,2.6
way/1135060521,43.12621310768891,-89.3042274176044,bakery,69.8,62.0,100.0,20.6,1.0,east side,6.07
node/4925300456,43.0407409,-89.3953648,bar,69.8,54.7,100.0,35.0,1.0,fish hatchery,0.44
node/3240429353,43.0574313,-89.3989271,coffee shop,69.5,58.2,100.0,26.2,0.7,monroe street,1.04
node/11167096805,43.05006699999999,-89.3920584,bar,69.5,53.7,100.0,35.0,1.0,fish hatchery,1.13
way/43926492,43.05209980648997,-89.50251034738326,grocery store,69.4,58.5,100.0,25.0,1.0,junction,1.46
node/8505198887,43.07490049999999,-89.39072080000001,gym,69.2,51.8,100.0,36.5,0.0,capitol square,0.55
node/8773830624,43.128389899999995,-89.3611411,gym,69.2,51.8,100.0,36.5,1.0,north side,2.55
way/86579194,43.0542186082353,-89.50844628851435,gym,69.1,51.5,100.0,36.5,1.0,junction,1.09
way/86579194,43.0542186082353,-89.50844628851435,grocery store,69.0,56.6,100.0,25.0,1.0,junction,1.09
way/107454783,43.07093661462544,-89.4522959346128,restaurant,69.0,54.3,100.0,30.0,1.0,hilldale,0.3
way/37308634,43.074806106649646,-89.4441008496207,gym,69.0,51.0,100.0,36.5,0.7,hilldale,0.52
node/5661434236,43.0752286,-89.3903163,gym,68.8,50.2,100.0,36.5,0.0,capitol square,0.52
way/456695749,43.06623340255474,-89.41478794793663,restaurant,68.8,53.4,100.0,30.0,1.0,camp randall,0.45
node/3240429353,43.0574313,-89.3989271,bakery,68.8,58.2,100.0,20.6,0.7,park street,0.77
way/433662536,43.06239599285799,-89.40046167839698,bakery,68.7,57.8,100.0,20.6,1.0,park street,1.18
node/9898292787,43.0693148,-89.392177,bakery,68.7,57.8,100.0,20.6,1.0,isthmus,0.66
node/4925300456,43.0407409,-89.3953648,coffee shop,68.6,54.7,100.0,26.2,1.0,monroe street,1.47
node/11477165381,43.0640971,-89.4181216,restaurant,68.6,52.7,100.0,30.0,1.0,camp randall,0.79
node/2296195347,43.06918499999999,-89.3923898,bakery,68.6,57.5,100.0,20.6,1.0,isthmus,0.68
node/7324078516,43.0750199,-89.3899089,gym,68.6,49.6,100.0,36.5,0.0,capitol square,0.49
node/3245483866,43.05513059999999,-89.4999204,grocery store,68.5,54.8,100.0,25.0,0.7,junction,1.28
way/1135060521,43.12621310768891,-89.3042274176044,bakery,68.5,57.1,100.0,20.6,1.0,east side,6.07
node/11074151817,43.09860369999999,-89.3487346,bakery,68.5,57.0,100.0,20.6,1.0,east side,3.03
node/9427078625,43.03668480000002,-89.4151298,coffee shop,68.5,54.3,100.0,26.2,1.0,monroe street,1.65
node/11167096805,43.05006699999999,-89.3920584,coffee shop,68.4,53.7,100.0,26.2,1.0,monroe street,1.26
way/43926492,43.05209980648997,-89.50251034738326,gym,68.3,48.4,100.0,36.5,1.0,junction,1.46
way/457429394,43.067593640730266,-89.40616022507491,restaurant,68.2,51.0,100.0,30.0,0.7,camp randall,0.6
way/297754313,43.1132150211739,-89.34823242844925,gym,68.2,48.0,100.0,36.5,1.0,north side,2.6
way/37308634,43.074806106649646,-89.4441008496207,restaurant,68.2,51.0,100.0,30.0,0.7,hilldale,0.52
node/956773894,43.0972453,-89.3152071,bakery,68.2,55.9,100.0,20.6,1.0,east side,2.75
node/11074151817,43.09860369999999,-89.3487346,bakery,68.2,55.9,100.0,20.6,1.0,east side,3.03
way/669758023,43.034228860502786,-89.4455499347774,coffee shop,68.1,52.7,100.0,26.2,1.0,monroe street,3.58
node/11167096805,43.05006699999999,-89.3920584,convenience store,68.1,64.7,100.0,2.5,1.0,monroe street,1.26
way/456695749,43.06623340255474,-89.41478794793663,late night food,67.8,58.5,100.0,12.0,1.0,camp randall,0.45
node/956773581,43.0940178,-89.3414668,bakery,67.8,54.2,100.0,20.6,1.0,east side,2.31
way/107454783,43.07093661462544,-89.4522959346128,gym,67.8,46.4,100.0,36.5,1.0,hilldale,0.3
node/5029100532,43.0939931,-89.3411095,bakery,67.8,54.2,100.0,20.6,1.0,east side,2.3
way/297754313,43.1132150211739,-89.34823242844925,bakery,67.7,54.0,100.0,20.6,1.0,east side,4.5
node/11477165381,43.0640971,-89.4181216,late night food,67.6,57.8,100.0,12.0,1.0,camp randall,0.79
node/11167096805,43.05006699999999,-89.3920584,bakery,67.6,53.7,100.0,20.6,1.0,park street,0.57
node/9427078625,43.03668480000002,-89.4151298,coffee shop,67.6,50.8,100.0,26.2,1.0,monroe street,1.65
node/4925300456,43.0407409,-89.3953648,bar,67.6,46.2,100.0,35.0,1.0,fish hatchery,0.44
way/86579194,43.0542186082353,-89.50844628851435,grocery store,67.6,51.5,100.0,25.0,1.0,junction,1.09
node/956773581,43.0940178,-89.3414668,bakery,67.5,53.1,100.0,20.6,1.0,east side,2.31
node/13270880290,43.0754897,-89.3856372,gym,67.5,45.1,100.0,36.5,0.0,capitol square,0.16
node/5029100532,43.0939931,-89.3411095,bakery,67.5,53.1,100.0,20.6,1.0,east side,2.3
node/7259543422,43.074288,-89.390416,bakery,67.4,52.7,100.0,20.6,0.0,isthmus,0.09
way/1134399617,43.0719294018631,-89.45223628239545,gym,67.4,44.7,100.0,36.5,0.7,hilldale,0.22
node/3245483866,43.05513059999999,-89.4999204,gym,67.4,44.8,100.0,36.5,0.7,junction,1.28
node/956773894,43.0972453,-89.3152071,bakery,67.4,52.7,100.0,20.6,1.0,east side,2.75
way/433662536,43.06239599285799,-89.40046167839698,bakery,67.4,52.7,100.0,20.6,1.0,park street,1.18
node/4471944660,43.1086945,-89.3176002,bakery,67.4,52.7,100.0,20.6,1.0,east side,3.88
way/37308634,43.074806106649646,-89.4441008496207,gym,67.3,44.3,100.0,36.5,0.7,hilldale,0.52
way/669758023,43.034228860502786,-89.4455499347774,coffee shop,67.2,49.3,100.0,26.2,1.0,monroe street,3.58
node/6340379852,43.0749307,-89.39238,bakery,67.1,51.5,100.0,20.6,0.0,isthmus,0.19
node/1182271388,43.0748612,-89.3874147,gym,67.1,43.9,100.0,36.5,0.0,capitol square,0.29
node/2522752354,43.0746727,-89.3903719,bakery,67.1,51.8,100.0,20.6,0.0,isthmus,0.05
way/987655471,43.05749205759648,-89.42806675954046,convenience store,67.1,60.8,100.0,2.5,0.7,monroe street,1.84
node/7216954213,43.0747156,-89.39210400000002,bakery,67.1,51.8,100.0,20.6,0.0,isthmus,0.17
node/8505198887,43.07490049999999,-89.39072080000001,bakery,67.1,51.8,100.0,20.6,0.0,isthmus,0.06
way/107454783,43.07093661462544,-89.4522959346128,restaurant,67.0,46.4,100.0,30.0,1.0,hilldale,0.3
node/2522752349,43.0746247,-89.3934014,bakery,66.9,50.8,100.0,20.6,0.0,isthmus,0.28
way/457429394,43.067593640730266,-89.40616022507491,restaurant,66.8,45.9,100.0,30.0,0.7,camp randall,0.6
node/9898292787,43.0693148,-89.392177,coworking space,66.8,57.8,100.0,5.9,1.0,isthmus,0.66
