text,source,location_tag
"Plus more beer news for February. byRobin Shepard Beer February 14, 2026 8:00 AM Robin Shepard The lineup encompasses many styles but leans to Belgians. It’s easy to miss the beers ofNoble Roots Brewing Companyon Madison shelves.",isthmus,general madison
"Lakestone Properties is open to a concept that fits the location byLinda Falkenstein Food & Drink January 14, 2026 1:10 PM Courtesy Lakestone Properties Outdoor seating and docks for boat-up diners are planned as part of a new development on the site of the Mariner's Inn. The Mariner’s Inn site in the town of Westport will be redeveloped with multi-unit housing including space for a first-floor, waterfront dining space. The developer is McFarland-based Lakestone Properties.",isthmus,general madison
"Food hall fun, global street food, and bubble tea byLinda Falkenstein Food & Drink January 8, 2026 8:00 AM Lizzy Larson Communal tables invite socializing and sharing at One Social District. Food halls are trending nationwide, and downtown Madison got its first one this year:One Social Districtat 123 E. Wilson St.",isthmus,general madison
"Owners plan to infuse eatery with ‘mysigt,’ a Swedish term for coziness and warmth byLauren Hafeman Food & Drink December 11, 2025 4:30 PM Tommy Washbush The exterior of 1602 Gilson St. “This is the beginning of a big adventure for us,” Adam Benedetto said to a group of about 15 community members at a Dec. 9 informational meeting where he and his wife, Sacha, outlined early plans for their new restaurant, Friends Applaud.",isthmus,general madison
"Brewer Jessica Jones was all in on a neighborhood collab byRobin Shepard Beer December 7, 2025 7:00 AM Robin Shepard Jones with the barrels now crowding the brewery. Giant Jones Brewing Company’s superpower has long been strong beers with lots of flavor — barleywines, IPAs, double stouts and big Belgians. But until recently, brewmaster Jessica Jones has been reluctant to dive into barrel-aging, in part because of the storage space it requires.",isthmus,general madison
"Share community and cranberries with others byIsthmus Staff Food & Drink November 19, 2025 11:30 AM Megan Watson/Unsplash Thanksgiving dinners skew traditional, but there are options. It’s not been a good year so far for folks who’ve been hit hard by job losses, the government shutdown, and especially the disruption in SNAP benefits. Fortunately caring members of the community want to share the harvest so everyone can enjoy a traditional Thanksgiving meal.",isthmus,general madison
"The Schenk's Corners taproom for the herb-based brewery is back with limited hours byRobin Shepard Beer August 25, 2025 2:00 PM Nia Ryan, left, and Lauren Virnoche have reopened the Herbiery Taproom at 2015 Winnebago St. TheHerbieryhas reopened at 2015 Winnebago St. The brewing company that makes beer with herbs instead of hops closed its taproom earlier this year after failing to generate enough business.",isthmus,general madison
"Summer calls for outdoor spaces with a communal vibe byRobin Shepard Beer June 7, 2025 8:00 AM Courtesy Tyranena A Lake Mills classic: Tyranena at sunset. Biergarten season has arrived. Since 2020’s COVID restrictions forced creative solutions, outside seating at breweries and brewpubs has become a staple.",isthmus,general madison
"It’s easy to embrace global tastes without leaving Madison byCandice Wagener Isthmus Dining August 4, 2020 9:00 AM Carolyn Fath Ashby Crisp filled pupusas and tart curtido slaw come from El Salvador via Finca Coffee. As much as it would be nice to be able to hop on a plane any time to experience new sights or tastes from around the world, we don’t always have the money or time to make that happen. And now of course, we can't feasibly do it at all.",isthmus,general madison
"Much of the tax increase this year is due to the $607 million referendum passed in November 2024 byDave Cieslewicz Citizen Dave December 22, 2025 8:00 AM Freepik I follow this pretty closely, so I knew it was coming. But I wonder how many Madison homeowners had a rude awakening last week when they opened their property tax bills. Taxes on the average house here went up by around $800 or 11%.",isthmus,general madison
"A mom seeks justice for her daughter byLinda Falkenstein Music February 4, 2026 1:30 PM Director Keturah Stickann, left, librettist Sandra Flores-Strand and composer Scott Gendel. “Women die at the hands of men,” says Keturah Stickann, director ofMadison Opera’s forthcoming premiere ofEverlasting Faint. “That's actually a line in the opera.",isthmus,general madison
"We caught up with expectant, excited fans at Lola’s on North Sherman Avenue byLiam Beran,Lauren Hafeman Music February 19, 2026 8:50 AM Lizzy Larson Around 6:30 p.m., there were nearly 100 people in line to hear Styles' new album. The announcement last week that Madison and Los Angeles would be the only two U.S. cities hosting listening parties for British superstar Harry Styles’ new albumKiss All the Time.",isthmus,general madison
"Organizers hope effort will support equity in local music scene and drive tourism byLiam Beran Music October 3, 2025 9:00 AM Hedi LaMarr Rob Dz, co-president of the Urban Community Arts Network, says developing a music brand is an 'important step' for the city. City officials are looking to promote tourism through a new marketing effort meant to pitch Madison as a “music city.” Aresolutionunanimously passed by the city council Sept. 16 authorizes the city’s planning division to enter into a contract with local marketing firm The Creative Company Inc.",isthmus,general madison
"‘Abstract, but beautiful’ bySandy Tabachnick Music September 4, 2025 8:00 AM Brad Budd Acrobats and film scores are center stage with Cirque de la Symphonie and Madison Symphony Orchestra. As we head into cooler days, Madison’s downtown classical music groups will keep the stage warm with world premieres, a celebration of Earth, dueling violins, and a true crime ghost story as they prepare their 2025-2026 seasons. MADISON SYMPHONY ORCHESTRA The upcoming season for theMadison Symphony Orchestrais bittersweet.",isthmus,general madison
"Wristwatch album release, Melissa Faliveno and more Isthmus Picks byIsthmus Staff Arts February 19, 2026 5:03 AM James Pederson Wristwatch celebrates the release of 'III' Feb. 21 at the Crystal Corner Bar. courtesy The Porch Flowers The Porch Flowers Julia Houck Scott Stanley, Josh Gibbons and Colleen Murphy, from left, in 'C'est La Vie,' Madison Public Theatre, 2026.",isthmus,general madison
