location_tag,business_type,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence,lat,lon
monroe street,coffee shop,1.0,0.0,0.0,0.9833760857582092,0.9833760857582092,1,True,43.0505,-89.4076
camp randall,late night food,1.0,0.0,0.0,0.9807125329971312,0.9807125329971312,1,True,43.07,-89.4128
verona,pharmacy,1.0,0.0,0.0,0.974949836730957,0.974949836730957,1,True,42.9919,-89.5332
sun prairie,restaurant,1.0,0.0,0.0,0.9675508737564088,0.9675508737564088,1,True,43.1836,-89.2137
west side,convenience store,1.0,0.0,0.0,0.9570735692977904,0.9570735692977904,1,True,43.065,-89.48
fish hatchery,bar,1.0,0.0,0.0,0.9452530145645142,0.9452530145645142,1,True,43.04,-89.39
verona,bakery,1.0,0.0,0.0,0.9413729310035706,0.9413729310035706,1,True,42.9919,-89.5332
capitol square,gym,1.0,0.0,0.0,0.9343574643135072,0.9343574643135072,1,True,43.0748,-89.3839
isthmus,coworking space,1.0,0.0,0.0,0.9257141947746276,0.9257141947746276,1,True,43.075,-89.39
north side,gym,1.0,0.0,0.0,0.9256383776664734,0.9256383776664734,1,True,43.11,-89.38
monona,coffee shop,1.0,0.0,0.0,0.9075408577919006,0.9075408577919006,1,True,43.062,-89.334
camp randall,convenience store,1.0,0.0,0.0,0.8938234448432922,0.8938234448432922,1,True,43.07,-89.4128
isthmus,bakery,1.0,0.0,0.0,0.8896471261978149,0.8896471261978149,1,True,43.075,-89.39
verona,bar,1.0,0.0,0.0,0.8685715198516846,0.8685715198516846,1,True,42.9919,-89.5332
junction,grocery store,1.0,0.0,0.0,0.8416725695133209,0.8416725695133209,2,True,43.064,-89.51
sun prairie,coffee shop,1.0,0.0,0.0,0.8126738667488098,0.8126738667488098,1,True,43.1836,-89.2137
middleton,restaurant,0.8333333333333334,0.0,0.1666666666666666,0.7915340562661489,0.9252924919128418,6,True,43.0972,-89.5043
east side,bakery,1.0,0.0,0.0,0.7399829030036926,0.7399829030036926,2,True,43.075,-89.33
hilldale,restaurant,1.0,0.0,0.0,0.7336359024047852,0.7336359024047852,2,True,43.073,-89.45
park street,bakery,1.0,0.0,0.0,0.7222347259521484,0.7222347259521484,1,True,43.055,-89.39
monona,bakery,0.75,0.0,0.25,0.6950143501162529,0.8736264929175377,16,False,43.062,-89.334
capitol square,coffee shop,0.75,0.0,0.25,0.6505415439605713,0.8404020816087723,4,True,43.0748,-89.3839
camp randall,restaurant,1.0,0.0,0.0,0.6412187218666077,0.6412187218666077,1,True,43.07,-89.4128
monroe street,gym,0.6666666666666666,0.0,0.3333333333333333,0.6315827369689941,0.9061731100082396,3,True,43.0505,-89.4076
