category,keyword,avg_interest,recent_avg,trend_direction,trend_vs_avg,peak_interest,peak_date
late night food,late night,8.9,7.6,stable,-1.3,30,2024-03-24
late night food,2am,0.1,0.2,stable,0.1,10,2024-09-01
late night food,midnight,31.8,41.1,rising,9.3,100,2021-09-26
late night food,after hours,15.4,24.3,rising,8.9,34,2026-01-25
late night food,open late,4.1,7.5,rising,3.4,23,2025-12-21
bakery,bakery,33.2,32.7,stable,-0.5,47,2021-12-19
bakery,bread,65.0,78.8,rising,13.8,100,2024-12-22
bakery,pastry,3.9,6.4,rising,2.5,14,2025-12-21
bakery,donuts,20.6,18.5,falling,-2.1,47,2024-08-11
bakery,croissant,0.5,1.6,stable,1.1,6,2024-12-22
bakery,baked goods,0.6,4.6,rising,4.0,100,2024-01-21
convenience store,convenience store,2.7,4.5,stable,1.8,91,2021-12-05
convenience store,corner store,1.0,0.8,stable,-0.2,65,2021-12-05
convenience store,bodega,5.9,6.8,stable,0.9,100,2022-07-17
convenience store,7-eleven,0.5,0.5,stable,0.0,57,2025-08-31
coworking space,coworking,0.5,0.5,stable,0.0,48,2021-09-05
coworking space,cowork,0.1,2.0,stable,1.9,15,2026-02-15
coworking space,workspace,27.2,29.9,rising,2.7,100,2025-02-16
coworking space,WeWork,1.2,0.2,stable,-1.0,52,2023-11-05
coworking space,shared office,0.4,0.0,stable,-0.4,51,2024-03-31
daycare,daycare,5.0,5.8,stable,0.8,9,2025-12-28
daycare,childcare,1.1,1.2,stable,0.1,3,2025-01-12
daycare,nursery,3.5,2.2,stable,-1.3,9,2021-05-02
daycare,preschool,2.4,2.2,stable,-0.2,4,2021-05-23
daycare,kids,69.4,85.2,rising,15.8,100,2025-11-30
hardware store,hardware,28.7,21.4,falling,-7.3,45,2021-05-30
hardware store,tools,19.9,22.0,rising,2.1,40,2025-08-10
hardware store,Home Depot,55.8,38.2,falling,-17.6,100,2021-05-30
hardware store,lumber,8.3,5.2,falling,-3.1,19,2021-04-25
hardware store,plumbing,10.4,10.9,stable,0.5,18,2025-07-20
urgent care,urgent care,14.0,13.8,stable,-0.2,21,2023-12-24
urgent care,clinic,65.7,56.7,falling,-9.0,100,2022-01-02
urgent care,walk-in,0.1,0.2,stable,0.1,4,2021-08-29
urgent care,emergency,20.6,23.9,rising,3.3,35,2023-10-01
urgent care,doctor,25.1,25.6,stable,0.5,48,2022-05-01
